symbol_index,rank,letter,proximity,profile_proximity,final_score
6,6,ზ,0.7008007234141671,0.7008007234141671,0.7008007234141671
6,7,ჯ,0.6798489903073472,0.6798489903073472,0.6798489903073472
6,8,ნ,0.6676468535411582,0.6676468535411582,0.6676468535411582
6,9,ჭ,0.6620743540264034,0.6620743540264034,0.6620743540264034
6,10,გ,0.6574899875983723,0.6574899875983723,0.6574899875983723
6,11,ყ,0.6057329806852766,0.6057329806852766,0.6057329806852766
6,12,ც,0.6032635142051184,0.6032635142051184,0.6032635142051184
6,13,წ,0.5936930561788136,0.5936930561788136,0.5936930561788136
6,14,მ,0.5577114778721469,0.5577114778721469,0.5577114778721469
6,15,ე,0.5576334938996601,0.5576334938996601,0.5576334938996601
6,16,ვ,0.5468431828625904,0.5468431828625904,0.5468431828625904
6,17,ძ,0.5394892299402244,0.5394892299402244,0.5394892299402244
6,18,რ,0.5221126168928749,0.5221126168928749,0.5221126168928749
6,19,ა,0.5133084289996197,0.5133084289996197,0.5133084289996197
6,20,ჰ,0.4961730510936879,0.4961730510936879,0.4961730510936879
6,21,თ,0.4842646570077349,0.4842646570077349,0.4842646570077349
6,22,პ,0.48126480822572504,0.48126480822572504,0.48126480822572504
6,23,კ,0.4737885466648668,0.4737885466648668,0.4737885466648668
6,24,ქ,0.4728489392475058,0.4728489392475058,0.4728489392475058
6,25,ლ,0.4698215737605499,0.4698215737605499,0.4698215737605499
6,26,უ,0.4549259616860627,0.4549259616860627,0.4549259616860627
6,27,ჟ,0.44798998966916015,0.44798998966916015,0.44798998966916015
6,28,შ,0.4337642058492729,0.4337642058492729,0.4337642058492729
6,29,ღ,0.41925200758898085,0.41925200758898085,0.41925200758898085
6,30,ო,0.36084426104554945,0.36084426104554945,0.36084426104554945
6,31,დ,0.2821622418513994,0.2821622418513994,0.2821622418513994
6,32,ი,0.207584631146283,0.207584631146283,0.207584631146283
6,33,ფ,0.12594654655917137,0.12594654655917137,0.12594654655917137
7,1,ა,0.8994850173043215,0.8994850173043215,0.8994850173043215
7,2,ძ,0.7750626131305995,0.7750626131305995,0.7750626131305995
7,3,ბ,0.752485026794708,0.752485026794708,0.752485026794708
7,4,ც,0.7458093097709815,0.7458093097709815,0.7458093097709815
7,5,ყ,0.7409054578502537,0.7409054578502537,0.7409054578502537
